Time,Position,Velocity
0,2,40.00000
0.05,3.98775,39.51000
0.1,5.951,39.02000
0.15,7.88975,38.53000
0.2,9.804,38.04000
0.25,11.69375,37.55000
0.3,13.559,37.06000
0.35,15.39975,36.57000
0.4,17.216,36.08000
0.45,19.00775,35.59000
0.5,20.775,35.10000
0.55,22.51775,34.61000
0.6,24.236,34.12000
0.65,25.92975,33.63000
0.7,27.599,33.14000
0.75,29.24375,32.65000
0.8,30.864,32.16000
0.85,32.45975,31.67000
0.9,34.031,31.18000
0.95,35.57775,30.69000
1,37.1,30.20000
1.05,38.59775,29.71000
1.1,40.071,29.22000
1.15,41.51975,28.73000
1.2,42.944,28.24000
1.25,44.34375,27.75000
1.3,45.719,27.26000
1.35,47.06975,26.77000
1.4,48.396,26.28000
1.45,49.69775,25.79000
1.5,50.975,25.30000
1.55,52.22775,24.81000
1.6,53.456,24.32000
1.65,54.65975,23.83000
1.7,55.839,23.34000
1.75,56.99375,22.85000
1.8,58.124,22.36000
1.85,59.22975,21.87000
1.9,60.311,21.38000
1.95,61.36775,20.89000
2,62.4,20.40000
2.05,63.40775,19.91000
2.1,64.391,19.42000
2.15,65.34975,18.93000
2.2,66.284,18.44000
2.25,67.19375,17.95000
2.3,68.079,17.46000
2.35,68.93975,16.97000
2.4,69.776,16.48000
2.45,70.58775,15.99000
2.5,71.375,15.50000
2.55,72.13775,15.01000
2.6,72.876,14.52000
2.65,73.58975,14.03000
2.7,74.279,13.54000
2.75,74.94375,13.05000
2.8,75.584,12.56000
2.85,76.19975,12.07000
2.9,76.791,11.58000
2.95,77.35775,11.09000
3,77.9,10.60000
3.05,78.41775,10.11000
3.1,78.911,9.62000
3.15,79.37975,9.13000
3.2,79.824,8.64000
3.25,80.24375,8.15000
3.3,80.639,7.66000
3.35,81.00975,7.17000
3.4,81.356,6.68000
3.45,81.67775,6.19000
3.5,81.975,5.70000
3.55,82.24775,5.21000
3.6,82.496,4.72000
3.65,82.71975,4.23000
3.7,82.919,3.74000
3.75,83.09375,3.25000
3.8,83.244,2.76000
3.85,83.36975,2.27000
3.9,83.471,1.78000
3.95,83.54775,1.29000
4,83.6,0.80000
4.05,83.62775,0.31000
4.1,83.631,-0.18000
4.15,83.60975,-0.67000
4.2,83.564,-1.16000
4.25,83.49375,-1.65000
4.3,83.399,-2.14000
4.35,83.27975,-2.63000
4.4,83.136,-3.12000
4.45,82.96775,-3.61000
4.5,82.775,-4.10000
4.55,82.55775,-4.59000
4.6,82.316,-5.08000
4.65,82.04975,-5.57000
4.7,81.759,-6.06000
4.75,81.44375,-6.55000
4.8,81.104,-7.04000
4.85,80.73975,-7.53000
4.9,80.351,-8.02000
4.95,79.93775,-8.51000
5,79.5,-9.00000
5.05,79.03775,-9.49000
5.1,78.551,-9.98000
5.15,78.03975,-10.47000
5.2,77.504,-10.96000
5.25,76.94375,-11.45000
5.3,76.359,-11.94000
5.35,75.74975,-12.43000
5.4,75.116,-12.92000
5.45,74.45775,-13.41000
5.5,73.775,-13.90000
5.55,73.06775,-14.39000
5.6,72.336,-14.88000
5.65,71.57975,-15.37000
5.7,70.799,-15.86000
5.75,69.99375,-16.35000
5.8,69.164,-16.84000
5.85,68.30975,-17.33000
5.9,67.431,-17.82000
5.95,66.52775,-18.31000
6,65.6,-18.80000
6.05,64.64775,-19.29000
6.1,63.671,-19.78000
6.15,62.66975,-20.27000
6.2,61.644,-20.76000
6.25,60.59375,-21.25000
6.3,59.519,-21.74000
6.35,58.41975,-22.23000
6.4,57.296,-22.72000
6.45,56.14775,-23.21000
6.5,54.975,-23.70000
6.55,53.77775,-24.19000
6.6,52.556,-24.68000
6.65,51.30975,-25.17000
6.7,50.039,-25.66000
6.75,48.74375,-26.15000
6.8,47.424,-26.64000
6.85,46.07975,-27.13000
6.9,44.711,-27.62000
6.95,43.31775,-28.11000
7,41.9,-28.60000
7.05,40.45775,-29.09000
7.1,38.991,-29.58000
7.15,37.49975,-30.07000
7.2,35.984,-30.56000
7.25,34.44375,-31.05000
7.3,32.879,-31.54000
7.35,31.28975,-32.03000
7.4,29.676,-32.52000
7.45,28.03775,-33.01000
7.5,26.375,-33.50000
7.55,24.68775,-33.99000
7.6,22.976,-34.48000
7.65,21.23975,-34.97000
7.7,19.479,-35.46000
7.75,17.69375,-35.95000
7.8,15.884,-36.44000
7.85,14.04975,-36.93000
7.9,12.191,-37.42000
7.95,10.30775,-37.91000
8,8.4,-38.40000
8.05,6.46775,-38.89000
8.1,4.511,-39.38000
8.15,2.52975,-39.87000
8.2,0.524,-40.36000
8.25,-1.50625,-40.85000